ZINC_ID,SMILES,receptor,PDB_ID,IC50,pIC50,definition,pIC50_Training,residual_Training,pIC50_CV,residual_CV,pIC50_Ext-cpx,residual_Ext-cpx,pIC50_Ext-cpd,residual_Ext-cpd,MW,ALogP,Publication_DOI
72118269,CCN(C)c1c2c(c3c4c(c(ncn4)NCCN5CCOCC5)oc3n1)CC(CC2)(C)C,PDE4B,3O0J,19,7.72,Training,7.80553537,0.08553537,7.9019,0.1819,,,,,438.2743243,1.3176,10.1016/j.ejmech.2011.07.054
4982,COc1ccc(cc1OC2CCCC2)[C@H]3CC(=O)NC3,PDE4D,2PW3,622,6.21,Training,6.176280419,-0.033719581,6.2523,0.0423,,,,,275.1521435,-2.3028,10.1021/jm060904g
21914,CCc1c2c(n(n1)C3CCCC3)-c4nnc(n4CC2)c5cccs5,PDE4D,2PW3,13,7.89,Training,7.830588559,-0.059411441,7.8481,-0.0419,,,,,339.1517667,-0.5549,10.1021/jm060904g
22075,COc1ccc(cc1OC2CCCC2)C(=O)NCC(=O)NO,PDE4D,2PW3,15.6,7.81,Training,7.880675423,0.070675423,7.997,0.187,,,,,308.1372217,-3.34,10.1021/jm970685m
592419,c1cc(c(cc1C(=O)Nc2c(cncc2Cl)Cl)OCC3CC3)OC(F)F,PDE4D,2PW3,0.7,9.15,Training,9.169995968,0.019995968,9.0137,-0.1363,,,,,402.0349541,1.6865,10.1016/j.bmcl.2012.03.026
599006,COc1ccc(cc1OC2CCCC2)[C@H](Cc3ccncc3)c4ccccc4,PDE4D,2PW3,2.1,8.68,Training,8.705519592,0.025519592,8.6187,-0.0613,,,,,373.2041791,-1.218,10.1016/j.bmcl.2005.08.036
1553121,c1cc(c[n+](c1)[O-])C[C@@H](c2ccc(c(c2)OC3CC3)OC(F)F)c4cnc(s4)C(C(F)(F)F)(C(F)(F)F)[O-],PDE4D,2PW3,0.4,9.4,Training,9.343331277,-0.056668723,9.5337,0.1337,,,,,569.0781288,1.5924,10.1016/j.bmcl.2005.08.036
3812216,COc1ccc(cc1OC2CCCC2)C3=NO[C@H](C3)C(=O)NO,PDE4D,2PW3,2.7,8.57,Training,8.635556717,0.065556717,8.684,0.114,,,,,320.1372217,-2.8854,10.1021/jm970685m
3818556,C1CCC(CC1)CCC[C@H](CC(=O)NO)c2nc(no2)C(=O)N,PDE4D,2PW3,900,6.05,Training,5.846360288,-0.203639712,5.6709,-0.3791,,,,,324.1797552,-2.591,10.1016/j.bmcl.2008.10.036
13777052,C[C@@H](C(=O)NO)NC(=O)c1ccc(c(c1)OC2CCCC2)OC,PDE4D,2PW3,20.2,7.69,Training,7.530348271,-0.159651729,7.55,-0.14,,,,,322.1528718,-3.244,10.1021/jm970685m
26722891,CCc1nc2cc(ccc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OCCO,PDE4D,2PW3,850,6.07,Training,5.81533992,-0.25466008,5.8118,-0.2582,,,,,434.2205574,-0.7027,10.1016/S0960-894X(98)00508-3
26726089,Cc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OC(C)C)OC(C)C)OC)OC,PDE4D,2PW3,1200,5.92,Training,6.014573772,0.094573772,6.4984,0.5784,,,,,396.2049074,-0.2561,10.1016/S0960-894X(98)00508-3
26728272,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)OCCCO,PDE4D,2PW3,130,6.89,Training,6.939366477,0.049366477,6.618,-0.272,,,,,510.2366014,-1.397,10.1016/S0960-894X(98)00508-3
26728631,CCOc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCCO,PDE4D,2PW3,60,7.22,Training,7.221159266,0.001159266,7.1807,-0.0393,,,,,480.2260367,-0.3192,10.1016/S0960-894X(98)00508-3
26729890,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)NCCCO,PDE4D,2PW3,230,6.64,Training,6.661655697,0.021655697,6.6249,-0.0151,,,,,509.2525858,-1.6633,10.1016/S0960-894X(98)00508-3
26730507,Cc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OC,PDE4D,2PW3,800,6.1,Training,5.989592592,-0.110407408,6.1323,0.0323,,,,,420.2049074,0.0729,10.1016/S0960-894X(98)00508-3
26733111,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)OC,PDE4D,2PW3,140,6.85,Training,6.820639786,-0.029360214,6.826,-0.024,,,,,466.2103867,-0.5696,10.1016/S0960-894X(98)00508-3
26735077,CCCCc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCCO,PDE4D,2PW3,300,6.52,Training,6.667904153,0.147904153,6.7107,0.1907,,,,,492.2624223,-1.3305,10.1016/S0960-894X(98)00508-3
26736103,COc1cc2c(cc1OCCO)nc(nc2c3cc(cc(c3)OCC4CC4)OCC5CC5)OCCO,PDE4D,2PW3,90,7.05,Training,7.190772065,0.140772065,7.2033,0.1533,,,,,496.2209514,-1.109,10.1016/S0960-894X(98)00508-3
26739422,CCSc1nc2cc(c(cc2c(n1)c3cc(cc(c3)OCC4CC4)OCC5CC5)OC)OCCO,PDE4D,2PW3,700,6.15,Training,6.151426084,0.001426084,6.2836,0.1336,,,,,496.2031931,0.4255,10.1016/S0960-894X(98)00508-3
28529186,Cc1ccc(nc1)/C(=C/c2cccc(c2)c3cc(cc4c3nccc4)C(C)C)/c5ccc(cc5)S(=O)(=O)C,PDE4D,2PW3,0.2,9.7,Training,9.643495632,-0.056504368,9.6026,-0.0974,,,,,518.2027992,1.1642,10.1016/j.bmcl.2005.08.036
28529386,c1ccc(cc1)S(=O)(=O)Nc2cccc(c2)c3cc(cc4c3nccc4)Cc5ccncc5,PDE4D,2PW3,2,8.7,Training,8.514960013,-0.185039987,8.3879,-0.3121,,,,,451.1354479,-0.4803,10.1016/j.bmcl.2005.08.036
28529519,Cc1nc(on1)/C(=C/c2cccc(c2)c3cc(cc4c3nccc4)C(C)C)/c5ccccn5,PDE4D,2PW3,0.6,9.22,Training,9.36647237,0.14647237,9.4039,0.1839,,,,,432.1950114,0.7423,10.1016/j.bmcl.2005.08.036
28529543,CC(C)c1cc2cccnc2c(c1)c3cccc(c3)/C=C(\c4ccc(cc4)S(=O)(=O)C)/C(=O)NC(C)C,PDE4D,2PW3,0.6,9.22,Training,9.336373914,0.116373914,9.4065,0.1865,,,,,512.2133639,-0.0604,10.1016/j.bmcl.2005.08.036
28529662,Cc1nc(on1)/C(=C\c2cccc(c2)c3cc(cc4c3nccc4)C(C)(C)S(=O)(=O)C)/c5ccc(cc5)S(=O)(=O)C,PDE4D,2PW3,1.9,8.72,Training,8.786619214,0.066619214,8.8689,0.1489,,,,,587.154863,0.1177,10.1016/j.bmcl.2005.08.036
